name,x,y,type,v_nom
230_HLT_TSS,-122.931629,49.236824,230kV,230
230_NEL_DSS,-122.96293,49.217765,230kV,230
230_BND_DSS,-122.900721,49.262113,230kV,230
230_BDH_JCT,-123.405928,50.635524,230kV,230
230_ULR_GSS,-123.446059,50.655463,230kV,230
230_BDH_GSS,-123.405928,50.635524,230kV,230
230_SPG_DSS,-123.152465,49.24967,230kV,230
230_CSN_DSS,-123.197669,49.249427,230kV,230
230_MSA_DSS,-123.960396,49.668833,230kV,230
230_HSP_ISS,-123.489978,49.523649,230kV,230
230_MAN_DSS,-123.079088,49.226829,230kV,230
230_STV_DSS,-123.146856,49.132579,230kV,230
230_KI1_DSS,-123.116046,49.205311,230kV,230
230_FLW_DSS,-122.787696,49.137377,230kV,230
230_MLN_DSS,-122.682448,49.098957,230kV,230
230_MLE_DSS,-122.391564,49.068673,230kV,230
230_CBN_DSS,-122.297098,49.069045,230kV,230
230_ALZ_DSS,-122.00932,49.113555,230kV,230
230_ROS_DSS,-121.775529,49.176415,230kV,230
230_KLY_DSS,-121.739126,51.024755,230kV,230
230_HMH_DSS,-121.28483,51.657461,230kV,230
230_SVA_DSS,-120.80052,50.754923,230kV,230
230_SCK_DSS,-122.21554,52.305565,230kV,230
230_RBF_DSS,-122.466134,52.979769,230kV,230
230_BLW_DSS,-122.429605,53.020438,230kV,230
230_WSN_DSS,-122.608969,53.85023,230kV,230
230_SVY_DSS,-122.621031,54.144222,230kV,230
230_MIN_DSS,-128.711247,54.033032,230kV,230
230_SKA_DSS,-128.632826,54.45228,230kV,230
287_MIN_DSS,-128.711247,54.033032,287kV,287
287_KTB_ISS,-128.692876,54.03059,287kV,287
287_SKA_DSS,-128.632826,54.45228,287kV,287
287_RUP_DSS,-130.231685,54.256795,287kV,287
287_BQN_DSS,-130.265553,56.940264,287kV,287
287_KIT_DSS,-128.703584,54.009539,287kV,287
287_EUR_ISS,-128.699764,54.04127,287kV,287
230_KTB_ISS,-128.692876,54.03059,230kV,230
230_NLY_DSS,-117.341514,49.006447,230kV,230
230_BCUS04_INT,-117.341514,48.9974,230kV,230
230_CBK_DSS,-115.580487,49.500543,230kV,230
230_NTL_DSS,-114.858257,49.735535,230kV,230
230_HWW_JCT,-123.950849,49.122453,230kV,230
230_DMR_DSS,-124.671575,49.392836,230kV,230
230_SAT_DSS,-123.800936,48.806831,230kV,230
230_HWW_DSS,-123.950849,49.122453,230kV,230
230_VIT_TSS,-123.716421,48.82734,230kV,230
230_PIK_DSS,-123.458141,48.490565,230kV,230
230_EBT_TSS,-123.089175,49.007877,230kV,230
230_TBY_TSS,-123.362111,48.905074,230kV,230
230_MBO_TSS,-123.452515,48.863395,230kV,230
230_MTG_TSS,-123.425594,48.893015,230kV,230
230_KTG_DSS,-123.412041,48.566978,230kV,230
230_GTP_DSS,-123.359952,48.473831,230kV,230
230_HSY_DSS,-123.366532,48.442601,230kV,230
230_ESQ_DSS,-123.443729,48.460636,230kV,230
230_GOW_DSS,-123.421097,48.490141,230kV,230
230_BNT_DSS,-123.443713,48.460626,230kV,230
230_GLD_DSS,-126.064258,49.789185,230kV,230
230_SEV_GSS,-117.504098,49.030161,230kV,230
230_SEL_TSS,-117.513304,49.059567,230kV,230
230_ACK_DSS,-118.993459,50.561355,230kV,230
230_SAM_DSS,-119.251648,50.69157,230kV,230
230_REV_GSS,-118.197088,51.049455,230kV,230
230_ILL_DSS,-118.204474,50.985679,230kV,230
230_VNT_TSS,-119.22887,50.251765,230kV,230
230_INV_DSS,-116.117825,50.495098,230kV,230
230_KHS_DSS,-116.994352,51.281768,230kV,230
230_NIC_TSS,-120.389839,50.180236,230kV,230
230_VVW_DSS,-120.282704,50.680084,230kV,230
230_AAL_JCT,-116.538169,49.140486,230kV,230
230_AAL_DSS,-116.538169,49.140486,230kV,230
230_KCL_GSS,-117.515496,49.454146,230kV,230
230_QRP_ISS,-122.496573,53.007161,230kV,230
230_GMS_GSS,-122.197188,56.013887,230kV,230
230_DKT_DSS,-122.149231,55.823041,230kV,230
230_SNK_DSS,-121.617935,55.502078,230kV,230
230_SLS_DSS,-121.351887,55.714085,230kV,230
230_MNK_JCT,-121.699384,55.38395,230kV,230
230_MKT_SWS,-121.394671,55.283632,230kV,230
230_KGP_JCT,-121.619395,55.50154,230kV,230
230_KGP_ISS,-121.619395,55.50154,230kV,230
230_MNK_ISS,-121.699384,55.38395,230kV,230
230_DKW_GSS,-122.226925,55.781694,230kV,230
230_TLR_DSS,-121.133945,55.148406,230kV,230
230_QTY_GSS,-120.854741,55.184336,230kV,230
230_KDS_DSS,-122.788399,55.070415,230kV,230
230_MML_DSS,-124.021906,55.109971,230kV,230
230_KMI_DSS,-126.75829,56.994182,230kV,230
230_BCR_ISS,-121.132619,55.147518,230kV,230
230_BLM_DSS,-121.468417,55.139244,230kV,230
230_MRC_JCT,-121.045361,55.002841,230kV,230
230_QNT_DSS,-120.998656,54.993365,230kV,230
230_MRC_ISS,-121.045361,55.002841,230kV,230
230_SGB_ISS,-121.139041,55.745537,230kV,230
230_BMT_DSS,-120.446507,55.763714,230kV,230
230_LAP_GSS,-121.565045,55.723487,230kV,230
230_MLW_JCT,-121.298571,55.285633,230kV,230
230_MLW_GSS,-121.298571,55.285633,230kV,230
230_MKL_GSS,-121.458035,55.28438,230kV,230
230_SRN_JCT,-121.0801,55.962771,230kV,230
230_SST_ISS,-120.784616,55.925333,230kV,230
230_SRN_ISS,-121.0801,55.962771,230kV,230
230_GLN_DSS,-125.015718,54.074358,230kV,230
230_TAC_DSS,-124.072755,54.000696,230kV,230
287_TAT_DSS,-129.98696,57.713043,287kV,287
287_RDC_ISS,-129.767309,57.733303,287kV,287
287_VOL_JCT,-130.597656,56.7293,287kV,287
287_FKR_GSS,-130.685908,56.711854,287kV,287
287_VOL_GSS,-130.597656,56.7293,287kV,287
287_SGB_ISS,-121.139041,55.745537,287kV,287
287_SBK_DSS,-120.909356,56.180774,287kV,287
63_COF_DSS,-116.911291,49.699302,63kV,63
63_AAL_DSS,-116.538169,49.140486,63kV,63
63_CRE_DSS,-116.507052,49.090567,63kV,63
63_CFD_DSS,-116.843028,49.684616,63kV,63
63_ASM_TSS,-117.739544,49.096681,63kV,63
63_KAS_DSS,-116.915728,49.905893,63kV,63
360_BRT_TSS,-122.25233,50.72562,360kV,360
360_SAC_JCT,-122.458518,49.992852,360kV,360
360_UHT_DSS,-122.205199,49.759134,360kV,360
360_SAC_DSS,-122.458518,49.992852,360kV,360
360_ROS_DSS,-121.775529,49.176415,360kV,360
360_WAH_GSS,-121.680559,49.236392,360kV,360
360_BR2_GSS,-122.240038,50.72985,360kV,360
360_BR1_GSS,-122.240038,50.72985,360kV,360
